State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.74,17.54,17.78,18.75,17.94,17.08,17.41,17.71,17.7,15.38,14.14,12.78,11.44,11.81,11.71,10.92,10.92,11.12,11.33,11.12,11.38,11.39,11.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.54,13.35,13.15,13.28,12.08,12.16,11.82,11.74,11.36,11.24,11.19,10.81,10.06,10.6,10.31,10.12,10.21,10.48,10.11,10.03,9.82,9.86,9.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.83,12.76,12.32,12.65,12.17,12.03,11.38,10.79,10.66,10.39,10.62,10.48,10.16,10.71,10.51,9.96,10.01,10.02,9.39,9.27,9.19,9.56,9.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.05,6.78,6.49,6.41,6.31,6.08,5.8,5.77,5.49,5.38,5.26,5.28,5.41,5.55,5.59,5.37,5.4,5.36,5.29,5.22,5.06,4.9,4.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.46,5.31,4.93,4.62,4.64,4.56,4.29,4.32,4.1,3.98,3.93,3.83,3.84,3.72,3.66,3.48,3.4,3.22,3.09,3.04,2.96,2.91,2.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.17,5.89,5.58,5.45,5.8,5.79,5.75,5.8,5.71,5.67,5.61,5.55,5.58,5.73,5.52,5.3,5.24,5.08,4.87,4.67,4.51,4.46,4.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.25,4.03,4.12,3.9,3.77,3.71,4.03,3.83,3.61,3.26,3.23,2.99,3.08,3.11,3.07,2.99,3.13,3.17,3.09,2.95,2.94,3.04,2.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,2.31,2.27,2.32,2.19,2.17,2.08,2.06,2.01,1.86,1.89,1.72,1.75,1.73,1.64,1.53,1.55,1.56,1.52,1.46,1.39,1.42,1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5.45,5.31,5.43,4.95,5.42,5.24,4.78,5.01,4.69,4.8,4.97,4.26,4.23,4.44,4.48,4.65,4.32,4.24,4.44,4.48,4.72,4.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.64,6.55,6.38,6.36,6.17,6.1,5.87,5.74,5.48,5.36,5.29,5.31,5.42,5.64,5.47,5.3,5.27,5.18,5.14,5.02,4.82,4.75,4.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
